@relation train_twc_asr_w
@attribute agent_ring_count numeric
@attribute agent_speech_duration numeric
@attribute agent_speech_ratio numeric
@attribute agent_first_half_speech_ratio numeric
@attribute agent_spoke_first numeric
@attribute agent_first_speech_time numeric
@attribute agent_speech_duration_before_ring numeric
@attribute agent_speech_duration_after_ring numeric
@attribute agent_silence_duration numeric
@attribute agent_silence_ratio numeric
@attribute caller_ring_count numeric
@attribute caller_speech_duration numeric
@attribute caller_speech_ratio numeric
@attribute caller_first_half_speech_ratio numeric
@attribute caller_spoke_first numeric
@attribute caller_first_speech_time numeric
@attribute caller_speech_duration_before_ring numeric
@attribute caller_speech_duration_after_ring numeric
@attribute caller_silence_duration numeric
@attribute caller_silence_ratio numeric
@attribute analyzed_call_duration numeric
@attribute conversation_switch_count numeric
@attribute overlapping_speech_count numeric
@attribute overlapping_speech_duration numeric
@attribute overlapping_silence_count numeric
@attribute overlapping_silence_duration numeric
@attribute estimated_hold_time_duration numeric
@attribute agent_eighths_speech_seg_ratio_0 numeric
@attribute agent_eighths_speech_seg_ratio_1 numeric
@attribute agent_eighths_speech_seg_ratio_2 numeric
@attribute agent_eighths_speech_seg_ratio_3 numeric
@attribute agent_eighths_speech_seg_ratio_4 numeric
@attribute agent_eighths_speech_seg_ratio_5 numeric
@attribute agent_eighths_speech_seg_ratio_6 numeric
@attribute agent_eighths_speech_seg_ratio_7 numeric
@attribute caller_eighths_speech_seg_ratio_0 numeric
@attribute caller_eighths_speech_seg_ratio_1 numeric
@attribute caller_eighths_speech_seg_ratio_2 numeric
@attribute caller_eighths_speech_seg_ratio_3 numeric
@attribute caller_eighths_speech_seg_ratio_4 numeric
@attribute caller_eighths_speech_seg_ratio_5 numeric
@attribute caller_eighths_speech_seg_ratio_6 numeric
@attribute caller_eighths_speech_seg_ratio_7 numeric
@attribute overlapping_speech_ratio numeric
@attribute overlapping_silence_ratio numeric
@attribute overlapping_silence_large_count numeric
@attribute agent_speech_duration_after_last_hold numeric
@attribute eighths_overlapping_silence_seg_ratio_0 numeric
@attribute eighths_overlapping_silence_seg_ratio_1 numeric
@attribute eighths_overlapping_silence_seg_ratio_2 numeric
@attribute eighths_overlapping_silence_seg_ratio_3 numeric
@attribute eighths_overlapping_silence_seg_ratio_4 numeric
@attribute eighths_overlapping_silence_seg_ratio_5 numeric
@attribute eighths_overlapping_silence_seg_ratio_6 numeric
@attribute eighths_overlapping_silence_seg_ratio_7 numeric
@attribute caller_final_speech_ratio numeric
@attribute final_overlapping_silence_ratio numeric
@attribute final_switch_count numeric
@attribute agent_final_speech_end numeric
@attribute caller_final_speech_end numeric
@attribute classification {'No','Sale'}
@data
3,144.99044,0.369239973530828,0.549591366628732,1,0.2195,21.66077,43.86028,243.362031594104,0.61975803442086,0,99.40407,0.253147422517351,0.309122825520523,0,0.44898,-1,-1,293.268583,0.746852577482649,392.672653,59,34,31.2988,67,175.66583145805,78.34194,0.77783,0.6408,0.61239,0.16735,0.05326,0.03984,0.18823,0.47423,0.03659,0.32483,0.39434,0.48073,0.14835,0.22384,0.20793,0.20857,0.0797071040238699,0.447359473892494,6,32.51605,0.1679,0.21285,0.18027,0.40862,0.82705,0.74405,0.66197,0.37615,0.1810895,0.42728415,5,6.60008,2.40962,'Sale'
4,84.5577864852608,0.573728778274808,0.673852135805194,1,0.22948,16.3628064852608,0,57.2776782244898,0.388631889694538,0,16.24309,0.110210171865511,0.0908341531199928,0,21.63084,-1,-1,131.139767,0.889789828134489,147.382857,10,2,0.927880000000012,25,41.9624682244898,0,0.88818,0.65419,0.4934,0.65964,0.3311,0.52242,0.92463,0.11627,0,0.09315,0.17493,0.09526,0.51834,0,0,0,0.00629571185473771,0.284717429683765,0,-1,0.07799,0.19984,0.33167,0.24511,0.17926,0.47758,0.07537,0.69093,0,0.636444978117915,0,16.28083,57.82639,'No'
2,226.525400589569,0.22604857643502,0.308672958145302,1,0.2195,21.3514705895692,143.79344,772.4610849161,0.770835094617535,0,325.64946,0.324963984869883,0.211193091826418,0,88.00998,-1,-1,676.459928,0.675036015130116,1002.109388,101,25,15.6047299999998,207,462.795488612244,106.51791,0.68269,0.24716,0.12131,0.18354,0.11085,0.1237,0.07495,0.2642,0.03878,0.25431,0.32524,0.22645,0.42255,0.37834,0.50865,0.44541,0.0155718828571635,0.461821328244302,8,42.48353,0.25663,0.52657,0.56349,0.59575,0.47832,0.51126,0.4536,0.30895,0.341223,0.222342400000002,3,8.51753,0.15657,'No'
3,466.549924217687,0.269131645947239,0.214955482515266,1,0.22948,20.2938842176871,380.93449,1262.68780802494,0.728387746844224,0,643.21783,0.371043406728194,0.358312269295973,0,6.85442,-1,-1,1090.41205,0.629009618358175,1733.537959,201,105,77.8331499999998,261,697.395049024944,383.56834,0.44722,0.20038,0.1961,0.01612,0.07183,0.39454,0.41607,0.41079,0.31887,0.66444,0.41777,0.03216,0.31402,0.2298,0.48554,0.5053,0.0448984399769926,0.402295805179391,37,253.64365,0.24854,0.17169,0.43949,0.95982,0.65568,0.40218,0.19113,0.14983,0.696295550000004,0.0249454999999898,4,2.91125,-0.09192,'No'
7,89.885731292517,0.447456195721572,0.722556317530533,1,0.2195,7.63265,3.43220882086167,104.271185154195,0.519067789309514,0,8.82992,0.0439558354247349,0.0692366932321782,0,0.22948,-1,-1,192.051713,0.956044164575265,200.881633,15,3,1.41677,29,96.858035154195,47.4322003401361,0.69921,0.83431,0.7155,0.6412,0.52214,0.0306,0.13669,0,0.02503,0,0.08702,0.1649,0.05006,0,0,0.02464,0.00705276026902866,0.482164714153807,4,0,0.22172,0.16569,0.20821,0.21456,0.38091,0.85045,0.84041,0.97536,0.0309295,0.969070499999999,0,39.01949,1.59455,'No'
6,184.410865510204,0.492980338870822,0.561074410279571,1,0.22948,21.0521555102041,98.50609,181.700698727891,0.485735326842683,0,137.65712,0.36799487642894,0.403505357927429,0,5.62721,-1,-1,236.416349,0.63200512357106,374.073469,69,34,34.24214,72,80.939684941043,0,0.81266,0.56706,0.45746,0.40712,0.65037,0.47199,0.16537,0.41182,0.26961,0.54529,0.29543,0.50369,0.1674,0.39673,0.37042,0.39539,0.0915385421252636,0.216373765178848,0,-1,0.05121,0.12931,0.21082,0.15833,0.20185,0.19018,0.50283,0.28647,0.2489335,0.18127045,3,4.03446,1.22087,'No'
9,278.516932312925,0.254705597656235,0.296577230478432,1,0.22948,7.6127,207.917386213152,805.520255609977,0.736653662043158,0,246.89866,0.22579047612505,0.136510017541939,0,64.71293,-1,-1,846.587054,0.77420952387495,1093.485714,128,26,16.0336400000003,210,574.655235609977,153.78049,0.52524,0.25397,0.05044,0.35665,0.21263,0.24497,0.15548,0.23825,0.01445,0.26015,0.01584,0.25559,0.39458,0.32299,0.23438,0.30833,0.0146628710322596,0.525526056950367,13,165.11466,0.39118,0.51244,0.93372,0.42089,0.42337,0.44525,0.61773,0.45962,0.447705300000004,0.370208700000001,5,2.31567,2.74462,'No'
3,211.658895895692,0.445636734926056,0.463618723430939,1,0.2195,15.5646158956916,108.96228,258.929403077098,0.545162315410053,0,126.94145,0.267268583564083,0.154226753520904,0,17.44036,-1,-1,348.016917,0.732731416435917,474.958367,37,9,6.90431999999998,73,139.311323077098,13.08026,0.76153,0.63028,0.3988,0.06386,0.39409,0.58147,0.31964,0.41543,0.00706,0.00588,0.01445,0.58951,0.48435,0.32146,0.27199,0.44344,0.0145366846437721,0.293312704347195,1,105.35048,0.20469,0.36384,0.54692,0.34663,0.16207,0.11354,0.43039,0.17844,0.3651715,0.0986643499999985,3,3.92889,1.53433,'No'
1,17.5002236281179,0.232453308605372,0.464906617210743,1,0.22948,15.1256236281179,2.3746,55.7991868435374,0.741173705827926,0,0,0,0,0,-1,-1,-1,75.284898,1,75.284898,0,0,0,5,55.7991868435374,45.372888,0.88656,0.72074,0.07379,0.17854,0,0,0,0,0,0,0,0,0,0,0,0,0,0.741173705827926,4,0,0.11344,0.06828,0.92621,0.82146,1,1,1,1,0,1,0,45.37289,75.2849,'No'
1,132.05987,0.539993260586337,0.540867068351008,1,0.2195,7.6127,124.44717,110.568705147392,0.452115813920986,0,23.75605,0.0971385697877186,0.0863272856250304,0,11.54376,-1,-1,220.802317,0.902861430212281,244.558367,24,7,3.87117000000002,41,90.6838251473924,0,0.74153,0.73463,0.16186,0.52545,0.69941,0.62369,0.34267,0.48856,0.08094,0,0.15568,0.10868,0.05026,0.10053,0.12043,0.16058,0.0158292273843978,0.370806471517666,0,-1,0.13869,0.26537,0.68474,0.37893,0.25033,0.28623,0.56072,0.40145,0.1371875,0.416553000000002,4,-0.06567,2.48853,'No'
